commit_id	description	validation_long_f1	validation_long_bal_acc	validation_short_f1	validation_short_bal_acc	test_long_f1	test_long_bal_acc	test_short_f1	test_short_bal_acc	status
4468a2c	baseline_weekly_logistic_v1_7bar_5pct_2p5pct	0.6041	0.5265	0.7942	0.5072	0.5156	0.5123	0.7673	0.4984	discard
4468a2c	binance_spot_funding_oi_taker_logistic_v1_33f	0.5933	0.5101	0.8056	0.5000	0.5149	0.5178	0.7584	0.5000	discard
4468a2c	short_calibration_pos0p9_neg1p1_thr0p60_0p95	na	na	0.5726	0.4670	na	na	0.5442	0.4952	discard
4468a2c	binance_funding_only_long_v1	0.5933	0.5101	na	na	0.5149	0.5178	na	na	discard
4468a2c	binance_oi_only_long_v1	0.5966	0.5167	na	na	0.5100	0.5122	na	na	discard
4468a2c	binance_taker_only_long_v1	0.5966	0.5167	na	na	0.5100	0.5122	na	na	discard
4468a2c	binance_compact_mix_long_v1	0.5948	0.5109	na	na	0.5149	0.5178	na	na	discard
4468a2c	barrier_refit_h10_same_barriers_v1	0.6017	0.5160	0.8227	0.5000	0.5102	0.5200	0.7608	0.5000	discard
4468a2c	barrier_refit_h7_tighter_4pct_2pct_v1	0.5766	0.5126	0.7927	0.5000	0.5029	0.5041	0.7500	0.5000	discard
4468a2c	barrier_refit_h7_wider_6pct_3pct_v1	0.6195	0.5000	0.7845	0.5000	0.5153	0.5000	0.7568	0.5000	discard
4468a2c	walkforward_eval_h10_same_barriers_v1	0.5582	0.5403	0.5637	0.5480	0.4943	0.5032	0.5095	0.5037	discard
4468a2c	tree_walkforward_h10_same_barriers_v1	0.4327	0.5402	0.8212	0.5060	0.3489	0.4945	0.7898	0.4996	discard
4468a2c	regime_filter_h10_same_barriers_v1	na	0.5403	na	0.5480	na	0.5032	na	0.5037	discard
